Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.128339,0.0943427
5,0,0,0.0895404,0.0901665
10,0,0,0.0883967,0.0890973
15,0,0,0.0864813,0.0873039
20,0,0,0.0832462,0.0848299
25,0,0,0.0784529,0.0818621
30,0,0,0.0725999,0.0786711
35,0,0,0.0663857,0.0754074
40,0,0,0.060324,0.0718843
45,0,0,0.0547709,0.067829
50,0,0,0.0498856,0.0631774
55,0,0,0.0455626,0.0580334
60,0.171821,0,0.0415856,0.0525997
65,0.343643,0,0.0378569,0.0471759
70,0.515464,0,0.0344287,0.0420593
75,0.515464,0,0.0313662,0.0374262
80,0.859107,0,0.0286716,0.0333308
85,1.54639,0,0.0263084,0.0297678
90,1.71821,0,0.0242329,0.0267068
95,3.60825,0,0.0224044,0.0240996
100,4.63918,0,0.0207876,0.0218865
105,5.49828,0,0.019354,0.0200068
110,7.56014,0,0.018082,0.0184043
115,9.79381,0,0.0169531,0.0170305
120,11.512,6.06061,0.0159483,0.0158444
125,12.8866,6.06061,0.0150489,0.0148126
130,15.8076,6.06061,0.0142384,0.0139086
135,17.354,6.06061,0.0135029,0.0131115
140,19.244,6.06061,0.0128312,0.0124046
145,20.6186,6.06061,0.0122147,0.0117745
150,21.9931,9.09091,0.0116461,0.0112101
155,24.2268,12.1212,0.01112,0.0107025
160,25.945,12.1212,0.0106317,0.0102445
165,26.8041,12.1212,0.0101776,0.00982985
170,28.3505,18.1818,0.00975483,0.00945349
175,30.5842,18.1818,0.00936063,0.00911107
180,32.4742,18.1818,0.0089928,0.0087988
185,33.677,18.1818,0.0086493,0.00851335
190,35.2234,18.1818,0.00832828,0.00825178
195,36.4261,27.2727,0.00802804,0.00801148
200,37.9725,30.303,0.007747,0.00779016
205,39.5189,33.3333,0.00748368,0.00758579
210,40.5498,33.3333,0.00723673,0.00739659
215,41.4089,33.3333,0.00700486,0.00722099
220,41.7526,33.3333,0.00678689,0.00705765
225,42.6117,33.3333,0.00658174,0.00690537
230,43.299,33.3333,0.00638837,0.00676309
235,44.3299,42.4242,0.00620587,0.00662989
240,45.0172,42.4242,0.00603337,0.00650495
245,46.0481,45.4545,0.00587008,0.00638754
250,46.7354,45.4545,0.00571527,0.00627701
255,47.5945,45.4545,0.00556827,0.00617278
260,47.9381,45.4545,0.00542848,0.00607433
265,48.2818,45.4545,0.00529532,0.00598118
270,49.1409,45.4545,0.00516828,0.0058929
275,49.8282,45.4545,0.00504689,0.0058091
